date,vines,tweets
2016-11-09,38181,250483
2016-11-10,95085,858524
2016-11-11,100961,918512
2016-11-12,110954,1071485
2016-11-13,112435,1211256
2016-11-14,110924,1340849
2016-11-15,109869,1345728
2016-11-16,95206,944487
2016-11-17,98356,1161413
2016-11-18,96284,831048
2016-11-19,107603,968404
2016-11-20,44081,331966
2016-11-21,96776,947904
2016-11-22,95005,929676
2016-11-23,96155,994937
2016-11-24,92131,968018
2016-11-25,87767,724381
2016-11-26,96555,985259
2016-11-27,107145,1125260
2016-11-28,91730,830015
2016-11-29,88698,862544
2016-11-30,90868,828635
2016-12-01,83262,720306
2016-12-02,80944,820068
2016-12-03,88916,834591
2016-12-04,96486,853946
2016-12-05,83066,726234
2016-12-06,78631,717519
2016-12-07,82069,661061
2016-12-08,81300,764522
2016-12-09,77667,692010
2016-12-10,83195,724363
2016-12-11,92630,900674
2016-12-12,82234,692953
2016-12-13,82695,660233
2016-12-14,80803,701531
2016-12-15,75813,699812
2016-12-16,75536,665799
2016-12-17,85726,664105
2016-12-18,93337,841783
2016-12-19,84798,708203
2016-12-20,81486,658433
2016-12-21,85608,805630
2016-12-22,87544,812277
2016-12-23,91764,885684
2016-12-24,86199,843525
2016-12-25,73505,935820
2016-12-26,84375,967469
2016-12-27,93717,836393
2016-12-28,68656,509940
2016-12-29,25759,218893
2016-12-31,52155,452684
2017-01-01,88731,903478
2017-01-02,99656,915697
2017-01-03,93118,832691
2017-01-04,89915,710047
2017-01-05,93848,817982
2017-01-06,91699,696350
2017-01-07,98457,798282
2017-01-08,101318,921992
2017-01-09,84956,742330
2017-01-10,81700,719772
2017-01-11,82897,695725
2017-01-12,83986,623402
2017-01-13,82227,632748
2017-01-14,90454,829260
2017-01-15,94971,784698
2017-01-16,111616,868491
2017-01-17,161740,1141107
2017-01-18,103375,743524
2017-01-19,69254,492418
2017-01-20,64914,521319
2017-01-21,67557,577667
2017-01-22,69152,687708
2017-01-23,64080,731734
2017-01-24,58394,540458
2017-01-25,59595,538017
2017-01-26,58670,644547
2017-01-27,60243,591622
2017-01-28,63957,685477
2017-01-29,65169,751546
2017-01-30,57798,594003
2017-01-31,56252,472048
2017-02-01,52786,433840
2017-02-02,46931,383513
2017-02-03,42736,271617
2017-02-04,41670,209712
2017-02-05,36985,159701
2017-02-06,30405,152262
2017-02-07,26241,92052
2017-02-08,21105,51003
2017-02-09,17587,42407
2017-02-10,16213,37806
2017-02-11,17012,38360
2017-02-12,17617,40991
2017-02-13,15755,37826
2017-02-14,16366,36931
2017-02-15,15391,40325
2017-02-16,15650,59224
2017-02-17,16004,72653
2017-02-18,15412,96685
2017-02-19,17222,119421
2017-02-20,17090,142220
2017-02-21,17055,145501
2017-02-22,16338,145639
2017-02-23,17850,132032
2017-02-24,17805,112543
2017-02-25,18554,114944
2017-02-26,18345,103827
2017-02-27,18678,107543
2017-02-28,18454,96789
2017-03-01,19258,108369
2017-03-02,18507,114366
2017-03-03,19957,99063
2017-03-04,21539,119291
2017-03-05,22762,152926
2017-03-06,21659,273292
2017-03-07,21377,361664
2017-03-08,22918,312881
2017-03-09,22682,219313
2017-03-10,22787,200083
2017-03-11,23641,180624
2017-03-12,25427,244613
2017-03-13,23520,224741
2017-03-14,26193,226120
2017-03-15,25983,223420
2017-03-16,12960,126564
2017-03-17,25350,625869
2017-03-18,28135,585898
2017-03-19,29318,434045
2017-03-20,28871,330757
2017-03-21,25948,239573
2017-03-22,27827,270750
2017-03-23,27079,230901
2017-03-24,26240,203126
2017-03-25,28000,220259
2017-03-26,30659,289162
2017-03-27,28244,287971
2017-03-28,27678,230510
2017-03-29,27665,213619
2017-03-30,26466,180648
2017-03-31,26447,163577
2017-04-01,27012,155874
2017-04-02,27211,151137
2017-04-03,26703,156676
2017-04-04,27415,173925
2017-04-05,27353,151409
2017-04-06,27863,163351
2017-04-07,26063,172753
2017-04-08,27517,173824
2017-04-09,29718,203154
2017-04-10,28345,178334
2017-04-11,26574,160352
2017-04-12,26097,165179
2017-04-13,27180,238974
2017-04-14,27498,244322
2017-04-15,28329,246124
2017-04-16,27549,249614
2017-04-17,28723,273277
2017-04-18,27270,248777
2017-04-19,27813,281974
2017-04-20,27968,301433
2017-04-21,27527,272465
2017-04-22,28222,311000
2017-04-23,24053,378637
2017-04-24,24816,348573
2017-04-25,27027,352211
2017-04-26,27018,474611
2017-04-27,26449,389199
2017-04-28,24710,305673
2017-04-29,26405,263548
2017-04-30,28859,280475
2017-05-01,28418,339916
2017-05-02,26598,363279
2017-05-06,11676,113011
2017-05-07,27984,333333
2017-05-08,27475,347132
2017-05-09,25360,274870
2017-05-10,25486,262362
2017-05-11,23220,278722
2017-05-12,24645,257626
2017-05-13,26688,254464
2017-05-14,27098,293805
2017-05-15,26020,311757
2017-05-16,25216,291959
2017-05-17,25071,270879
2017-05-18,24242,243262
2017-05-19,22334,202116
2017-05-20,26691,235803
2017-05-21,28003,258090
2017-05-22,23846,192359
2017-05-23,21790,191754
2017-05-24,26297,217920
2017-05-25,22410,228656
2017-05-26,25772,255460
2017-05-27,26001,265428
2017-05-28,27363,278329
2017-05-29,25550,271050
2017-05-30,26275,285042
2017-05-31,26033,279390
2017-06-01,19293,213764
2017-06-02,24376,233271
2017-06-03,24745,244099
2017-06-04,24763,285078
2017-06-05,24456,305994
2017-06-06,26332,317309
2017-06-07,24449,306889
2017-06-08,23837,321166
2017-06-09,23409,274502
2017-06-10,23585,257656
2017-06-11,25056,313417
2017-06-12,25577,332572
2017-06-13,25038,351104
2017-06-14,25239,465905
2017-06-15,23817,307190
2017-06-16,24537,271364
2017-06-17,25695,245815
2017-06-18,25722,215605
2017-06-19,24752,231905
2017-06-20,24501,231506
2017-06-21,25108,220228
2017-06-22,24298,185331
2017-06-23,23507,159880
2017-06-24,22862,152979
2017-06-25,23776,182871
2017-06-26,24155,242947
2017-06-27,25489,240798
2017-06-28,24621,287537
2017-06-29,23945,269595
2017-06-30,22655,396511
2017-07-01,23207,858765
2017-07-02,24133,636696
2017-07-03,24390,600510
2017-07-04,25100,582752
2017-07-05,23687,359827
2017-07-06,24162,441575
2017-07-07,24033,410764
2017-07-08,22735,306278
2017-07-09,24058,204505
2017-07-10,24419,202168
2017-07-11,22580,173438
2017-07-12,24268,190737
2017-07-13,23596,202582
2017-07-14,22921,186128
2017-07-15,23185,174477
2017-07-16,22507,159230
2017-07-17,23580,169721
2017-07-18,22986,161175
2017-07-19,23022,167521
2017-07-20,23279,196204
2017-07-21,22334,156008
2017-07-22,22013,139816
2017-07-23,22823,139390
2017-07-24,23949,181660
2017-07-25,24071,208035
2017-07-26,23836,249993
2017-07-27,23026,225359
2017-07-28,23936,200192
2017-07-29,22421,193919
2017-07-30,23515,234043
2017-07-31,23397,341154
2017-08-01,23197,251315
2017-08-02,23934,242706
2017-08-03,24595,260199
2017-08-04,23959,247401
2017-08-05,22959,211100
2017-08-06,23770,203270
2017-08-07,23010,233920
2017-08-08,24614,241382
2017-08-09,23566,261277
2017-08-10,22375,247828
2017-08-11,21268,216814
2017-08-12,20489,168610
2017-08-13,21882,187584
2017-08-14,21820,209385
2017-08-15,22493,229101
2017-08-16,21822,234762
2017-08-17,20902,235535
2017-08-18,20670,207367
2017-08-19,21115,193044
2017-08-20,22273,239841
2017-08-21,21501,227828
2017-08-22,20797,203273
2017-08-23,22542,275949
2017-08-24,21756,268175
2017-08-25,20547,213718
2017-08-26,21311,249383
2017-08-27,21465,257193
2017-08-28,21556,199324
2017-08-29,20313,188269
2017-08-30,21136,227180
2017-08-31,22402,273350
2017-09-01,20437,245462
2017-09-02,20021,207468
2017-09-03,20650,222180
2017-09-04,21579,243149
2017-09-05,19839,238576
2017-09-06,19572,192938
2017-09-07,19914,214744
2017-09-08,19089,209378
2017-09-09,19629,187404
2017-09-10,21690,202470
2017-09-11,21087,190869
2017-09-12,19080,161660
2017-09-13,18854,141972
2017-09-14,19155,174718
2017-09-15,18897,207634
2017-09-16,20198,167207
2017-09-17,20831,187376
2017-09-18,20361,215988
2017-09-19,18859,222536
2017-09-20,20075,196868
2017-09-21,18689,170959
2017-09-22,17901,176595
2017-09-23,18150,152505
2017-09-24,19728,148669
2017-09-25,17730,130548
2017-09-26,18097,131652
2017-09-27,17515,166085
2017-09-28,17748,161816
2017-09-29,16614,130436
2017-09-30,18499,138007
2017-10-01,19080,154647
2017-10-02,17643,187739
2017-10-03,17884,219436
2017-10-04,17993,172558
2017-10-05,16977,137350
2017-10-06,17952,139683
2017-10-07,17085,134159
2017-10-08,19222,138802
2017-10-09,18593,153356
2017-10-10,17838,141047
2017-10-11,17109,166543
2017-10-12,17389,239868
2017-10-13,17367,141499
2017-10-14,18084,130553
2017-10-15,18365,127798
2017-10-16,16767,113269
2017-10-17,17911,150493
2017-10-18,17770,169372
2017-10-19,17477,134925
2017-10-20,17445,114515
2017-10-21,17027,118875
2017-10-22,19322,149882
2017-10-23,19001,139850
2017-10-24,18538,160180
2017-10-25,17674,148099
2017-10-26,17585,151840
2017-10-27,17873,147885
2017-10-28,17788,132448
2017-10-29,18264,174396
2017-10-30,17358,199346
2017-10-31,15907,147453
2017-11-01,16413,132118
2017-11-02,17366,178251
2017-11-03,17630,190640
2017-11-04,17171,151504
2017-11-05,18464,191621
2017-11-06,17234,167852
2017-11-07,16702,171196
2017-11-08,16704,212683
2017-11-09,16621,161030
2017-11-10,16989,166357
2017-11-11,16912,154320
2017-11-12,18131,272839
2017-11-13,17929,227245
2017-11-14,17667,217586
2017-11-15,17783,188700
2017-11-16,15399,120662
